排名,升/降,学校名称,英文名称,省市,类型,总分,办学层次,学科水平,办学资源,师资规模与结构,人才培养,科学研究,服务社会,学术人才,重大项目与成果,国际竞争力
179,1,中北大学,North University of China,山西,理工,171.7,,,,,,,,,,
180,68,青海大学,Qinghai University,青海,综合,171.6,,,,,,,,,,
181,62,集美大学,Jimei University,福建,综合,170.7,,,,,,,,,,
182,-3,武汉纺织大学,Wuhan Textile University,湖北,理工,170.4,,,,,,,,,,
183,-7,天津理工大学,Tianjin University of Technology,天津,理工,170.3,,,,,,,,,,
184,-13,四川师范大学,Sichuan Normal University,四川,师范,170.1,,,,,,,,,,
185,-18,云南师范大学,Yunnan Normal University,云南,师范,169.6,,,,,,,,,,
185,6,浙江海洋大学,Zhejiang Ocean University,浙江,农业,169.6,,,,,,,,,,
187,-2,天津科技大学,Tianjin University of Science and Technology,天津,理工,169.5,,,,,,,,,,
188,-15,湖南科技大学,Hunan University of Science and Technology,湖南,综合,169.4,,,,,,,,,,
189,-15,重庆交通大学,Chongqing Jiaotong University,重庆,理工,169.1,,,,,,,,,,
190,0,长江大学,Yangtze University,湖北,综合,168.4,,,,,,,,,,
191,21,兰州理工大学,Lanzhou University of Technology,甘肃,理工,168.1,,,,,,,,,,
191,59,山东理工大学,Shandong University of Technology,山东,理工,168.1,,,,,,,,,,
193,20,安徽理工大学,Anhui University of Science and Technology,安徽,理工,167,,,,,,,,,,
193,27,烟台大学,Yantai University,山东,综合,167,,,,,,,,,,
195,9,大连工业大学,Dalian Polytechnic University,辽宁,理工,165.9,,,,,,,,,,
196,0,哈尔滨理工大学,Harbin University of Science and Technology,黑龙江,理工,165.5,,,,,,,,,,
196,4,沈阳师范大学,Shenyang Normal University,辽宁,师范,165.5,,,,,,,,,,
198,0,延边大学,Yanbian University,吉林,综合,165.4,,,,,,,,,,
199,39,内蒙古农业大学,Inner Mongolia Agricultural University,内蒙古,农业,165.3,,,,,,,,,,
200,-22,河南科技大学,Henan University of Science and Technology,河南,综合,164.9,,,,,,,,,,
201,7,南华大学,University of South China,湖南,综合,164.1,,,,,,,,,,
202,-9,哈尔滨师范大学,Harbin Normal University,黑龙江,师范,164,,,,,,,,,,
203,-35,石家庄铁道大学,Shijiazhuang Tiedao University,河北,理工,163.5,,,,,,,,,,
204,-22,北京信息科技大学,Beijing Information Science & Technology University,北京,理工,163.4,,,,,,,,,,
205,-19,沈阳建筑大学,Shenyang Jianzhu University,辽宁,理工,162.5,,,,,,,,,,
206,39,青岛农业大学,Qingdao Agricultural University,山东,农业,162.4,,,,,,,,,,
207,-9,上海工程技术大学,Shanghai University of Engineering Science,上海,理工,161.7,,,,,,,,,,
208,-14,河南工业大学,Henan University of Technology,河南,理工,161.4,,,,,,,,,,
209,44,江西理工大学,Jiangxi University of Science and Technology,江西,理工,161.1,,,,,,,,,,
